strategy,question,answer,latency_seconds
few_shot,What are the eligibility requirements for a personal loan?,"**Personal Loan Eligibility Requirements**

1. **Age** – Must be at least 18 years old (or the age of majority in your jurisdiction).  
2. **Legal Capacity** – Must have the legal capacity to enter into a contract.  
3. **Income** – Must demonstrate a stable source of income sufficient to cover the loan repayment.  
4. **Credit History** – A satisfactory credit score and a clean credit history are generally required.  
5. **Employment/Financial Stability** – Evidence of steady employment or consistent income (pay slips, tax returns, etc.).  
6. **Debt‑to‑Income Ratio** – Your existing debt obligations should not exceed a certain percentage of your monthly income (often around 35–45 %).  
7. **Collateral/Guarantor (if applicable)** – Some loan amounts may require a co‑signer or collateral.  
8. **Identity & Documentation** – Valid identification, proof of residence, and any other documents the bank may require.  

**Please note:**  
- Meeting these requirements does **not** guarantee that your loan will be approved.  
- The final approval decision is made by the bank after a full verification of your application and documentation.",0.867
few_shot,What documents are required for KYC?,"**Documents required for KYC (Know Your Customer) compliance:**

| Document Type | Typical Examples |
|---------------|-----------------|
| **Proof of Identity (POI)** | • Passport (valid)<br>• Voter ID card<br>• Driver’s licence<br>• Aadhaar card<br>• PAN card (for Indian residents) |
| **Proof of Address (POA)** | • Recent utility bill (electricity, water, gas, landline)<br>• Bank/credit‑card statement<br>• Rental/lease agreement<br>• Property tax receipt<br>• Aadhaar card (address section) |
| **Recent Photograph** | • Passport‑size photo (2 × 2 inch or as specified) |

*For corporate or joint accounts, the bank may request additional documents such as incorporation certificates, partnership deed, or statutory authorisation.*

**Submission:** Upload scanned copies via the online portal, mail to the KYC desk, or submit originals at a branch. The bank will verify the documents; completion of KYC is mandatory before any account‑related services can be fully activated.",1.218
few_shot,Does meeting the eligibility criteria guarantee loan approval?,No. Meeting the eligibility criteria does not guarantee loan approval. The final approval decision is made by the bank after verification.,0.623
few_shot,Can the bank request additional KYC documents?,Yes. The bank can request additional KYC documents to complete the verification process.,0.472
few_shot,What factors are considered for loan eligibility?,"Answer:  
The bank evaluates several key factors when determining loan eligibility, including:

1. **Credit history and score** – past borrowing behavior and credit report quality.  
2. **Income level and stability** – regular earnings and proof of income (pay slips, tax returns).  
3. **Employment status** – type of employment, tenure, and employer verification.  
4. **Debt‑to‑income ratio** – existing debts relative to total income.  
5. **Collateral or security** – assets that can be pledged if required.  
6. **Financial statements** – for self‑employed applicants, recent profit/loss and balance sheets.  
7. **Purpose of the loan** – how the funds will be used (business expansion, home purchase, etc.).  

Meeting these eligibility criteria does **not** guarantee loan approval.  
The final approval decision is made by the bank after a full verification of all submitted documents and information.",0.942
few_shot,What happens if my KYC documents are invalid?,"If your KYC documents are found to be invalid, the bank will place a hold on your account and you will not be able to use most banking services until valid, updated documents are provided. The bank will contact you to submit the correct documents, and only after they are verified will your account be fully reinstated.",0.893
few_shot,What are the service charges for banking services?,"Service charges for banking services are set out in the bank’s official fee schedule.  The fees can vary by account type, transaction type and the specific service you use (for example, monthly maintenance, ATM usage, wire transfer, overdraft, etc.).  Please review the fee schedule on the bank’s website or ask a customer‑service representative for the exact amounts that apply to your account.  The bank may adjust these fees from time to time, and all charges are applied after the bank’s verification process.",1.361
few_shot,Can you tell me the exact service charge?,"I’m sorry, but I can’t provide an exact service charge amount.  

The fee you’ll ultimately see depends on the specific product, your account type, and any applicable promotions. Please refer to the bank’s official fee schedule or contact your local branch for the most accurate information. The final amount will be confirmed once the transaction is processed.",0.683
few_shot,Are service charges the same for all accounts?,"No. Service charges vary depending on the type of account and its features. The specific fees for each account are outlined in the account agreement and can differ based on usage, balance thresholds, and account services.",0.921
few_shot,Can you guarantee that my loan will be approved?,No. Meeting the eligibility criteria does not guarantee loan approval. The final approval decision is made by the bank after verification.,0.513
role_prompting,What are the eligibility requirements for a personal loan?,Not covered in the approved policy.,0.511
role_prompting,What documents are required for KYC?,Not covered in the approved policy.,0.765
role_prompting,Does meeting the eligibility criteria guarantee loan approval?,Meeting the eligibility criteria does not guarantee loan approval.,0.594
role_prompting,Can the bank request additional KYC documents?,"Yes, the bank may request additional KYC documents if needed to complete the verification process.",1.144
role_prompting,What factors are considered for loan eligibility?,Not covered in the approved policy.,4.05
role_prompting,What happens if my KYC documents are invalid?,Not covered in the approved policy.,0.717
role_prompting,What are the service charges for banking services?,Not covered in the approved policy.,3.045
role_prompting,Can you tell me the exact service charge?,Not covered in the approved policy.,0.999
role_prompting,Are service charges the same for all accounts?,Not covered in the approved policy.,3.019
role_prompting,Can you guarantee that my loan will be approved?,Not covered in the approved policy.,0.614
chain_of_thought,What are the eligibility requirements for a personal loan?,"To qualify for a personal loan, applicants must meet the following criteria:

1. **Age** – Must be at least 18 years old (or the age of majority in your jurisdiction).  
2. **Residency** – Must be a legal resident of the country where the loan is issued.  
3. **Employment/Income** – Demonstrate a steady source of income (e.g., full‑time employment, self‑employment, or documented pension/benefits) sufficient to cover the monthly loan payment.  
4. **Credit History** – A minimum credit score (typically 600–650, depending on the lender) and no recent bankruptcies or severe delinquencies.  
5. **Debt‑to‑Income Ratio** – Generally not exceed 40–45 % of gross monthly income.  
6. **Identification** – Provide valid government‑issued photo ID and proof of address.  
7. **Application Documentation** – Submit completed application form, recent pay stubs or tax returns, and any required collateral or co‑signer documentation if applicable.  

Meeting these requirements does not guarantee approval; final decisions are made after a full credit and underwriting review.",0.818
chain_of_thought,What documents are required for KYC?,"**Documents required for KYC (Individual):**  
1. **Identity Proof** – Government‑issued ID (passport, driver’s licence, national ID card, etc.).  
2. **Address Proof** – Utility bill, bank statement, lease/rental agreement, or official correspondence dated within the last 3 months.  
3. **Photograph** – One recent passport‑style photo (if required by the branch).  

**Documents required for KYC (Corporate):**  
1. Company registration certificate.  
2. PAN card of the company.  
3. Board resolution authorising the account.  
4. Proof of address of the company.  
5. Identification of authorized signatories (ID proof and photograph).",4.301
chain_of_thought,Does meeting the eligibility criteria guarantee loan approval?,"Meeting the eligibility criteria does not guarantee loan approval. While the criteria are a necessary first step, the final decision also takes into account other factors such as credit history, income verification, debt-to-income ratio, and the lender’s risk assessment.",2.048
chain_of_thought,Can the bank request additional KYC documents?,Yes. The bank may request additional KYC documents whenever it is necessary to comply with regulatory requirements or to complete its risk assessment.,4.074
chain_of_thought,What factors are considered for loan eligibility?,"Loan eligibility is evaluated based on factors such as:

1. **Credit history and credit score**  
2. **Income level and employment stability**  
3. **Debt‑to‑income ratio**  
4. **Existing assets or collateral**  
5. **Requested loan amount and purpose**  
6. **Repayment period and terms**  
7. **Legal and regulatory compliance checks**  

These criteria help determine whether a borrower meets the bank’s standards for a loan.",0.687
chain_of_thought,What happens if my KYC documents are invalid?,"If your KYC documents are found to be invalid, your account will be temporarily suspended. You’ll receive a notice and must submit valid documents within 15 days. Failure to provide them on time may lead to account closure and restrictions on future account opening.",4.348
chain_of_thought,What are the service charges for banking services?,"**Service Charges Overview (per our current fee schedule)**  

| Service | Typical Charge | Notes |
|---------|----------------|-------|
| Monthly account maintenance | $0–$10 (depends on account type & balance) | Waived if you maintain the minimum balance. |
| ATM usage | $2 per out‑of‑network use | In‑network ATMs are free. |
| Domestic wire transfer | $30 (outbound) | No charge for inbound. |
| International wire transfer | $50 (outbound) | Exchange‑rate margin applies. |
| Overdraft (non‑linked) | $35 per occurrence | May be waived on first occurrence in a billing cycle. |
| Stop‑payment request | $10 | Per check stopped. |
| Paper statement | $2 | Optional paper statements available. |

For the complete, up‑to‑date fee schedule—including any promotions or specific account‑type exemptions—please visit our website’s “Fees & Charges” page or contact customer support.",1.434
chain_of_thought,Can you tell me the exact service charge?,"Could you let me know which service you’re referring to (e.g., payments, withdrawals, account maintenance, etc.)? That’ll help me give you the exact charge.",7.269
chain_of_thought,Are service charges the same for all accounts?,"No. Service charges vary by account type and the features you use—such as balance thresholds, transaction limits, and additional services. Each account has its own fee schedule.",1.024
chain_of_thought,Can you guarantee that my loan will be approved?,"I’m sorry, but we can’t guarantee that a loan will be approved. Loan decisions depend on many factors, including your credit history, income, debt‑to‑income ratio, collateral, and other underwriting criteria.",0.616
rag_style,What are the eligibility requirements for a personal loan?,"Eligibility for a personal loan depends on factors including age, income, employment status, credit history, and required documentation. Meeting these criteria does not guarantee approval; the final decision is made by the bank after verification.",7.369
rag_style,What documents are required for KYC?,Valid identity proof and address proof as required by the bank. The bank may also request additional documents when needed for verification.,4.284
rag_style,Does meeting the eligibility criteria guarantee loan approval?,Meeting the eligibility criteria does not guarantee loan approval.,2.941
rag_style,Can the bank request additional KYC documents?,"Yes. According to the KYC Requirements in the approved policy, the bank may request additional documents when required for verification.",5.165
rag_style,What factors are considered for loan eligibility?,"Factors considered for loan eligibility include:

- Age  
- Income  
- Employment status  
- Credit history  
- Required documentation",3.993
rag_style,What happens if my KYC documents are invalid?,Not covered in the approved policy.,0.615
rag_style,What are the service charges for banking services?,Not covered in the approved policy.,8.907
rag_style,Can you tell me the exact service charge?,Not covered in the approved policy.,2.151
rag_style,Are service charges the same for all accounts?,"Service charges are not the same for all accounts.  
According to the policy, charges may vary depending on the type of service and the account.",1.126
rag_style,Can you guarantee that my loan will be approved?,Meeting the eligibility criteria does not guarantee loan approval. The final approval decision is made by the bank after verification.,9.011
